number    CPU_Time
1000000   0m1.752s
1000000   0m1.635s
1000000   0m1.465s
1000000   0m1.530s
1000000   0m1.523s
100000   0m0.212s
100000   0m0.167s
100000   0m0.150s
100000   0m0.167s
100000   0m0.157s
10000   0m0.010s
10000   0m0.014s
10000   0m0.015s
10000   0m0.016s
10000   0m0.018s
1000   0m0.000s
1000   0m0.003s
1000   0m0.000s
1000   0m0.005s
1000   0m0.000s
100   0m0.002s
100   0m0.002s
100   0m0.002s
100   0m0.002s
100   0m0.003s
10   0m0.000s
10   0m0.002s
10   0m0.002s
10   0m0.002s
10   0m0.000s
